n,m,sigma,trials,feasible_trials,infeasible_skips,iter_cap_anomalies,mean_pivots,std_pivots
5,10,1.0,200,37,163,0,3.108108108108108,1.0341149443085942
5,10,0.3,200,200,0,0,3.075,1.479653675695769
5,10,0.1,200,200,0,0,2.79,1.488589936819405
5,10,0.03,200,200,0,0,2.875,1.5809411753762377
5,10,0.01,200,200,0,0,2.965,1.7645891873181134
10,20,1.0,200,5,195,0,9.4,2.4979991993593593
10,20,0.3,200,199,1,0,7.050251256281407,2.8047854721726013
10,20,0.1,200,200,0,0,7.195,3.401025580615353
10,20,0.03,200,200,0,0,7.415,3.5640952568639355
10,20,0.01,200,200,0,0,6.995,3.1992147474028685
20,40,1.0,200,0,200,0,nan,nan
20,40,0.3,200,198,2,0,17.252525252525253,5.426912797529417
20,40,0.1,200,200,0,0,20.485,7.8364389233886085
20,40,0.03,200,200,0,0,23.215,8.67748667529948
20,40,0.01,200,200,0,0,22.0,9.279547402756236
